0.1;0;2;
0.15;0;2;
0.2;0;2;
0.25;0;2;
0.3;0;2;
0.35;0;2;
0.4;0;2;
0.45;0;2;
0.5;0;2;
0.55;0;2;
0.6;0;2;
0.65;0;2;
0.7;0;2;
0.75;0;2;
0.8;0;2;
0.85;0;2;
0.9;0;2;
0.95;0;2;
1;0;2;
1.05;0;2;
1.1;0;2;
1.15;0;2;
1.2;0;2;
1.25;0;2;
1.3;0;2;
1.35;0;2;
1.4;0;2;
1.45;0;2;
1.5;0;2;
1.55;0;2;
1.6;0;2;
1.65;0;2;
1.7;0;2;
1.75;0;2;
1.8;0;2;
1.85;0;2;
1.9;0;2;
1.95;0;2;
2;0;2;
2.05;0;2;
2.1;0;2;
2.15;0;2;
2.2;0;2;
2.25;0;2;
2.3;0;2;
2.35;0;2;
2.4;0;2;
2.45;0;2;
2.5;0;2;
2.55;0;2;
2.6;0;2;
2.65;0;2;
2.7;0;2;
2.75;0;2;
2.8;0;2;
2.85;0;2;
2.9;0;2;
2.95;0;2;
3;0;2;
3.05;0;2;
3.1;0;2;
3.15;0;2;
3.2;0;2;
3.25;0;2;
3.3;0;2;
3.35;0;2;
3.4;0;2;
3.45;0;2;
3.5;0;2;
3.55;0;2;
3.6;0;2;
3.65;0;2;
3.7;0;2;
3.75;0;2;
3.8;0;2;
3.85;0;2;
3.9;0;2;
3.95;0;2;
4;0;2;
4.05;0;2;
4.1;0;2;
4.15;0;2;
4.2;0;2;
4.25;0;2;
4.3;0;2;
4.35;0;2;
4.4;0;2;
4.45;0;2;
4.5;0;2;
4.55;0;2;
4.6;0;2;
4.65;0;2;
4.7;0;2;
4.75;0;2;
4.8;0;2;
4.85;0;2;
4.9;0;2;
4.95;0;2;
5;0;2;
5;0.05;2;
5;0.1;2;
5;0.15;2;
5;0.2;2;
5;0.25;2;
5;0.3;2;
5;0.35;2;
5;0.4;2;
5;0.45;2;
5;0.5;2;
5;0.55;2;
5;0.6;2;
5;0.65;2;
5;0.7;2;
5;0.75;2;
5;0.8;2;
5;0.85;2;
5;0.9;2;
5;0.95;2;
5;1;2;
5;1.05;2;
5;1.1;2;
5;1.15;2;
5;1.2;2;
5;1.25;2;
5;1.3;2;
5;1.35;2;
5;1.4;2;
